CustomerKey;GeographyKey;FullName;Gender;City
11000;26;Jon Yang;Man;Rockhampton
11001;37;Eugene Huang;Man;Seaford
11002;31;Ruben Torres;Man;Hobart
11003;11;Christy Zhu;Woman;North Ryde
11004;19;Elizabeth Johnson;Woman;Wollongong
11005;22;Julio Ruiz;Man;East Brisbane
11006;8;Janet Alvarez;Woman;Matraville
11007;40;Marco Mehta;Man;Warrnambool
11008;32;Rob Verhoff;Woman;Bendigo
11009;25;Shannon Carlson;Man;Hervey Bay
11010;22;Jacquelyn Suarez;Woman;East Brisbane
11011;22;Curtis Lu;Man;East Brisbane
11012;611;Lauren Walker;Woman;Bremerton
11013;543;Ian Jenkins;Man;Lebanon
11014;634;Sydney Bennett;Woman;Redmond
11015;301;Chloe Young;Woman;Burbank
11016;329;Wyatt Hill;Man;Imperial Beach
11017;39;Shannon Wang;Woman;Sunbury
11018;32;Clarence Rai;Man;Bendigo
11019;52;Luke Lal;Man;Langley
11020;53;Jordan King;Man;Metchosin
11021;536;Destiny Wilson;Woman;Beaverton
11022;609;Ethan Zhang;Man;Bellingham
11023;298;Seth Edwards;Man;Bellflower
11024;311;Russell Xie;Man;Concord
11025;24;Alejandro Beck;Man;Hawthorne
11026;4;Harold Sai;Man;Goulburn
11027;40;Jessie Zhao;Man;Warrnambool
11028;17;Jill Jimenez;Woman;St. Leonards
11029;32;Jimmy Moreno;Man;Bendigo
11030;28;Bethany Yuan;Woman;Cloverdale
11031;8;Theresa Ramos;Woman;Matraville
11032;35;Denise Stone;Woman;Melbourne
11033;9;Jaime Nath;Man;Milsons Point
11034;12;Ebony Gonzalez;Woman;North Sydney
11035;33;Wendy Dominguez;Woman;Cranbourne
11036;343;Jennifer Russell;Woman;National City
11037;49;Chloe Garcia;Woman;Cliffside
11038;6;Diana Hernandez;Woman;Lavender Bay
11039;19;Marc Martin;Man;Wollongong
11040;642;Jesse Murphy;Man;Tacoma
11041;325;Amanda Carter;Woman;Glendale
11042;338;Megan Sanchez;Woman;Los Angeles
11043;325;Nathan Simmons;Man;Glendale
11044;25;Adam Flores;Man;Hervey Bay
11045;8;Leonard Nara;Man;Matraville
11046;6;Christine Yuan;Woman;Lavender Bay
11047;34;Jaclyn Lu;Woman;Geelong
11048;39;Jeremy Powell;Man;Sunbury
11049;307;Carol Rai;Woman;Chula Vista
11050;31;Alan Zheng;Man;Hobart
11051;21;Daniel Johnson;Man;Caloundra
11052;8;Heidi Lopez;Woman;Matraville
11053;359;Ana Price;Woman;San Diego
11054;34;Deanna Munoz;Woman;Geelong
11055;22;Gilbert Raje;Man;East Brisbane
11056;10;Michele Nath;Woman;Newcastle
11057;5;Carl Andersen;Man;Lane Cove
11058;29;Marc Diaz;Man;Findon
11059;27;Ashlee Andersen;Woman;Townsville
11060;40;Jon Zhou;Man;Warrnambool
11061;23;Todd Gao;Man;Gold Coast
11062;547;Noah Powell;Man;Portland
11063;634;Angela Murphy;Woman;Redmond
11064;315;Chase Reed;Man;Downey
11065;331;Jessica Henderson;Woman;La Jolla
11066;543;Grace Butler;Woman;Lebanon
11067;632;Caleb Carter;Man;Port Orchard
11068;40;Tiffany Liang;Woman;Warrnambool
11069;23;Carolyn Navarro;Woman;Gold Coast
11070;39;Willie Raji;Man;Sunbury
11071;24;Linda Serrano;Woman;Hawthorne
11072;17;Casey Luo;Woman;St. Leonards
11073;16;Amy Ye;Woman;Springwood
11074;28;Levi Arun;Man;Cloverdale
11075;32;Felicia Jimenez;Woman;Bendigo
